position,code,designer,name,fragrantica_reference,perfumoteca_lookup_key,status,confidence,review_notes
51,CP02324,CAROLINA HERRERA,212 HEROES,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+HEROES,CP02324,review,medium,
52,CP00703,CAROLINA HERRERA,212 MEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+MEN,CP00703,review,medium,
53,CP02368,CAROLINA HERRERA,212 MEN AQUA,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+MEN+AQUA,CP02368,review,medium,
54,CP00704,CAROLINA HERRERA,212 ON ICE,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+ON+ICE,CP00704,review,low,Edición On Ice confirmada visualmente; conservar en review por coexistencia de ediciones limitadas.
55,CP00994,CAROLINA HERRERA,212 SEXY MEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+SEXY+MEN,CP00994,review,medium,
56,CP02253,CAROLINA HERRERA,212 VIP BLACK,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+BLACK,CP02253,review,medium,
57,CP02403,CAROLINA HERRERA,212 VIP BLACK NY,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+BLACK+NY,CP02403,review,medium,
58,CP02502,CAROLINA HERRERA,212 VIP BLACK NY RODEO,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+BLACK+NY+RODEO,CP02502,review,medium,
59,CP02312,CAROLINA HERRERA,212 VIP BLACK RED,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+BLACK+RED,CP02312,review,medium,
60,CP02392,CAROLINA HERRERA,212 VIP BLACK SMILEY,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+BLACK+SMILEY,CP02392,review,medium,
61,CP01063,CAROLINA HERRERA,212 VIP MEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+MEN,CP01063,review,medium,
62,CP02337,CAROLINA HERRERA,212 VIP MEN WINS,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+212+VIP+MEN+WINS,CP02337,review,medium,
63,CP02266,CAROLINA HERRERA,BAD BOY,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+BAD+BOY,CP02266,review,medium,
64,CP02430,CAROLINA HERRERA,BAD BOY DAZZLING GARDEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+BAD+BOY+DAZZLING+GARDEN,CP02430,review,medium,
65,CP02492,CAROLINA HERRERA,BAD BOY ELIXIR,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+BAD+BOY+ELIXIR,CP02492,review,medium,
66,CP02404,CAROLINA HERRERA,BAD BOY EXTREME,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+BAD+BOY+EXTREME,CP02404,review,medium,
67,CP02344,CAROLINA HERRERA,BAD BOY LE PARFUM,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+BAD+BOY+LE+PARFUM,CP02344,review,medium,
68,CP01029,CAROLINA HERRERA,BAD BOY SUPERSTAR COLLECTOR EDITION 2021,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+BAD+BOY+SUPERSTAR+COLLECTOR+EDITION+2021,CP01029,review,medium,Edición de botella coleccionista; perfil olfativo vinculado a Bad Boy original.
69,CP02267,CAROLINA HERRERA,CH KINGS,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+CH+KINGS,CP02267,review,medium,
70,CP00988,CAROLINA HERRERA,CH MEN,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+CH+MEN,CP00988,review,medium,
