position,code,designer,name,fragrantica_reference,perfumoteca_lookup_key,provider_lookup,status,confidence,review_notes
351,DP02556,CAROLINA HERRERA,GOOD GIRL VELVET FATALE,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+GOOD+GIRL+VELVET+FATALE,DP02556,https://glass-essence.com/?s=DP02556&post_type=product,review,medium,Velvet Fatale es edición de colección de Good Girl; conserva el perfil del jugo original.
352,DP02884,CAROLINA HERRERA,LA BOMBA,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+LA+BOMBA,DP02884,https://glass-essence.com/?s=DP02884&post_type=product,review,medium,Lanzamiento reciente; pirámide contrastada con comunicación oficial y fuentes especializadas.
353,DP02598,CAROLINA HERRERA,VERY GOOD GIRL,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+VERY+GOOD+GIRL,DP02598,https://glass-essence.com/?s=DP02598&post_type=product,review,medium,
354,DP02733,CAROLINA HERRERA,VERY GOOD GIRL GLAM,https://www.fragrantica.com/search/?query=CAROLINA+HERRERA+VERY+GOOD+GIRL+GLAM,DP02733,https://glass-essence.com/?s=DP02733&post_type=product,review,medium,
355,DP01054,CHANEL,CHANCE EAU DE PARFUM,https://www.fragrantica.com/search/?query=CHANEL+CHANCE+EAU+DE+PARFUM,DP01054,https://glass-essence.com/?s=DP01054&post_type=product,review,medium,
356,DP02620,CHANEL,CHANCE EAU FRAICHE,https://www.fragrantica.com/search/?query=CHANEL+CHANCE+EAU+FRAICHE,DP02620,https://glass-essence.com/?s=DP02620&post_type=product,review,medium,
357,DP02622,CHANEL,CHANCE EAU TENDRE,https://www.fragrantica.com/search/?query=CHANEL+CHANCE+EAU+TENDRE,DP02622,https://glass-essence.com/?s=DP02622&post_type=product,review,medium,
358,DP01057,CHANEL,CHANEL NO 5 EAU DE PARFUM,https://www.fragrantica.com/search/?query=CHANEL+CHANEL+NO+5+EAU+DE+PARFUM,DP01057,https://glass-essence.com/?s=DP01057&post_type=product,review,medium,
359,DP01068,CHANEL,COCO EAU DE PARFUM,https://www.fragrantica.com/search/?query=CHANEL+COCO+EAU+DE+PARFUM,DP01068,https://glass-essence.com/?s=DP01068&post_type=product,review,medium,
360,DO01067,CHANEL,COCO MADEMOISSELLE,https://www.fragrantica.com/search/?query=CHANEL+COCO+MADEMOISSELLE,DO01067,https://glass-essence.com/?s=DO01067&post_type=product,review,medium,La clave aparece como DO01067 en el catálogo operativo; se conserva sin alterarla.
361,DP02444,CHANEL,GABRIELLE,https://www.fragrantica.com/search/?query=CHANEL+GABRIELLE,DP02444,https://glass-essence.com/?s=DP02444&post_type=product,review,medium,
362,DP02559,COACH,COACH DREAMS SUNSET,https://www.fragrantica.com/search/?query=COACH+COACH+DREAMS+SUNSET,DP02559,https://glass-essence.com/?s=DP02559&post_type=product,review,medium,
363,DP01073,DAVIDOFF,COOL WATER,https://www.fragrantica.com/search/?query=DAVIDOFF+COOL+WATER,DP01073,https://glass-essence.com/?s=DP01073&post_type=product,review,medium,
364,DP01163,DIOR,HYPNOTIC POISON,https://www.fragrantica.com/search/?query=DIOR+HYPNOTIC+POISON,DP01163,https://glass-essence.com/?s=DP01163&post_type=product,review,medium,
365,DP01176,DIOR,J'ADORE,https://www.fragrantica.com/search/?query=DIOR+J%27ADORE,DP01176,https://glass-essence.com/?s=DP01176&post_type=product,review,medium,
366,DP02357,DIOR,MISS DIOR BLOOMING BOUQUET,https://www.fragrantica.com/search/?query=DIOR+MISS+DIOR+BLOOMING+BOUQUET,DP02357,https://glass-essence.com/?s=DP02357&post_type=product,review,medium,
367,DP02523,DIOR,MISS DIOR EAU DE PARFUM 2021,https://www.fragrantica.com/search/?query=DIOR+MISS+DIOR+EAU+DE+PARFUM+2021,DP02523,https://glass-essence.com/?s=DP02523&post_type=product,review,medium,
368,DP02815,DIOR,MISS DIOR PARFUM 2024,https://www.fragrantica.com/search/?query=DIOR+MISS+DIOR+PARFUM+2024,DP02815,https://glass-essence.com/?s=DP02815&post_type=product,review,medium,
369,DP01265,DIOR,POISON,https://www.fragrantica.com/search/?query=DIOR+POISON,DP01265,https://glass-essence.com/?s=DP01265&post_type=product,review,medium,
370,DP02792,DOLCE & GABBANA,DEVOTION,https://www.fragrantica.com/search/?query=DOLCE+%26+GABBANA+DEVOTION,DP02792,https://glass-essence.com/?s=DP02792&post_type=product,review,medium,
